BASE,Authors,Title,Year,DOI,Link
SCOPUS,"Wulf A.J., Seizov O.",“Please understand we cannot provide further information”: evaluating content and transparency of GDPR-mandated AI disclosures,2022,10.1007/s00146-022-01424-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129848315&doi=10.1007%2fs00146-022-01424-z&partnerID=40&md5=cfb71983c01c1926c27f15a26947f52a
SCOPUS,"Lewis D., Moorkens J.",A Rights-Based Approach to Trustworthy AI in Social Media,2020,10.1177/2056305120954672,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091716474&doi=10.1177%2f2056305120954672&partnerID=40&md5=7d6214b89607129a52d1589fe8ab022b
SCOPUS,"Salgado-Criado J., Fernandez-Aller C.",A Wide Human-Rights Approach to Artificial Intelligence Regulation in Europe,2021,10.1109/MTS.2021.3056284,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107382326&doi=10.1109%2fMTS.2021.3056284&partnerID=40&md5=d1a844bb828c31af1a6a60b222f2ced6
ACADEMIC,"Joamets, Kristi; Chochia, Archil",Access to Artificial Intelligence for Persons with Disabilities: Legal and Ethical Questions Concerning the Application of Trustworthy AI.,Spring2021,10.11590/abhps.2021.1.04,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=150601663&lang=pt-br&site=ehost-live"
ACADEMIC,Jili B,Africa: regulate surveillance technologies and personal data.,2022 jul.,10.1038/d41586-022-01949-9,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=mdc&AN=35851875&lang=pt-br&site=ehost-live"
ACADEMIC,Chu CH; Leslie K; Shi J; Nyrup R; Bianchi A; Khan SS; Rahimi SA; Lyn A; Grenier A,Ageism and Artificial Intelligence: Protocol for a Scoping Review.,2022 jun. 09,10.2196/33211,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=mdc&AN=35679118&lang=pt-br&site=ehost-live"
ACADEMIC,"Mantelero, Alessandro","AI and Big Data: A blueprint for a human rights, social and ethical impact assessment.",Aug2018,10.1016/j.clsr.2018.05.017,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=130965281&lang=pt-br&site=ehost-live"
ACADEMIC,"Liu, Hin-Yan",AI Challenges and the Inadequacy of Human Rights Protections.,Apr2021,10.1080/0731129X.2021.1903709,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=150191606&lang=pt-br&site=ehost-live"
ACADEMIC,"Nwafor, Ifeoma Elizabeth",AI ethical bias: a case for AI vigilantism (AIlantism) in shaping the regulation of AI.,Autumn2021,10.1093/ijlit/eaab008,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=iih&AN=153797987&lang=pt-br&site=ehost-live"
ACADEMIC,"Shachar, Carmel; Gerke, Sara; Adashi, Eli Y.",AI Surveillance during Pandemics: Ethical Implementation Imperatives.,May2020,10.1002/hast.1125,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=c8h&AN=144300454&lang=pt-br&site=ehost-live"
SCOPUS,"Calderon-Valencia F., Perez-Montoya J.J., De Morais F.S.",AI Systems in Brazilian Supreme Federal Court and the Colombian Constitutional Court Experiences: Prospective Analysis [Sistemas De Ia En La Experiencia Del Supremo Tribunal Federal BrasileÑO Y La Corte Constitucional Colombiana: AnÁLisis Prospectivo],2021,10.26512/lstr.v13i1.35614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107534301&doi=10.26512%2flstr.v13i1.35614&partnerID=40&md5=78ff65d45c0aa95acbd85ba4ebb69e21
ACADEMIC,"KOMPELLA, KASHYAP",AI Without Ethics Leads Down a Dark Path.,Nov/Dec2021,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=153136606&lang=pt-br&site=ehost-live"
ACADEMIC,"Manjarres, Angeles; Pickin, Simon; Artaso, Miguel A.; Gibbons, Elizabeth",AI4Eq: For a True Global Village Not for Global Pillage.,mar.2021,10.1109/MTS.2021.3056290,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=iih&AN=149417929&lang=pt-br&site=ehost-live"
